id,q,r,state,constituency,ge14_win_coallition,ge14_win_party,ge13_win_coallition,ge13_win_party,ge14_majority,ge14_majority_pct,ge13_majority,ge13_majority_pct,ge14_malay,ge13_malay,ge14_chinese,ge13_chinese,ge14_indian,ge13_indian,ge14_bp_sabah_muslim,ge14_bp_sabah_nonmuslim,ge14_bp_swk,ge14_orang_asli,ge14_others,ge13_others,ge14_total_electorate,ge13_total_electorate,ge14_total_vote_cast,ge13_total_vote_cast,ge14_turnout,ge13_turnout
P092,8,8,Selangor,Sabak Bernam,BN,UMNO,BN,UMNO,1674,4.94,1644,5.19,83,82,12,13,5,5,0,0,0,0,0,0,40863,37318,33915,31706,83,85
P093,9,8,Selangor,Sungai Besar,PH,PKR,BN,UMNO,714,1.71,399,1.06,69,67,29,31,2,2,0,0,0,0,0,0,48739,42837,41770,37681,86,88
P094,10,9,Selangor,Hulu Selangor,PH,PKR,BN,MIC,13391,15.48,3414,4.56,60,57,21,23,16,18,0,0,0,2,1,0,100990,85697,86531,74947,86,87
P095,11,9,Selangor,Tanjong Karang,BN,UMNO,BN,UMNO,1970,4.8,4394,11.66,75,73,16,17,9,10,0,0,0,0,0,0,47198,42333,41029,37676,87,89
P096,12,10,Selangor,Kuala Selangor,PH,AMANAH,BN,UMNO,8498,14,460,0.83,65,64,13,13,21,22,0,0,0,0,0,0,69397,62298,60717,55474,87,89
P097,9,7,Selangor,Selayang,PH,PKR,PR,PKR,40657,41.09,17846,19.33,52,45,29,36,18,17,0,0,0,0,1,1,116176,105895,98955,92315,85,87
P098,10,8,Selangor,Gombak,PH,PKR,PR,PKR,48721,40.61,4734,4.43,76,74,1,13,11,11,0,0,0,0,2,1,141112,123290,119975,106747,85,87
P099,13,9,Selangor,Ampang,PH,PKR,PR,PKR,41956,54.38,13278,18.6,55,55,35,33,9,10,0,0,0,0,2,0,91737,83135,77158,71398,84,86
P100,14,10,Selangor,Pandan,PH,PKR,PR,PKR,52543,60.89,26729,36.58,46,44,46,48,7,7,0,0,0,0,1,0,101319,83857,86291,73075,85,87
P101,9,6,Selangor,Hulu Langat,PH,AMANAH,PR,PAS,25424,28.51,17267,15.37,65,53,22,34,10,11,0,0,0,1,1,0,102363,127347,89176,112322,87,88
P102,10,7,Selangor,Bangi,PH,DAP,PR,DAP,68768,43.68,42206,35.75,48,40,39,49,11,11,0,0,0,0,1,0,178790,133139,157441,118048,88,89
P103,14,9,Selangor,Puchong,PH,DAP,PR,DAP,47635,56.61,32802,34.77,37,39,52,44,10,16,0,0,0,0,0,1,96437,107010,84145,94335,87,88
P104,10,6,Selangor,Subang,PH,PKR,PR,PKR,92353,73.11,28827,33.41,27,38,56,42,15,19,0,0,0,0,1,0,146422,101236,126315,86287,86,85
P105,14,8,Selangor,Petaling Jaya,PH,PKR,PR,PKR,57137,49.15,19216,29.48,47,40,32,42,20,14,0,0,0,0,1,0,140920,79558,116247,65185,82,82
P106,10,5,Selangor,Damansara,PH,DAP,PR,DAP,106903,77.95,44672,63.26,20,15,69,77,9,6,0,0,0,0,1,2,164322,85401,137147,70614,83,83
