par_code,state,ge13_constituency,ge14_constituency,ge13_win_coallition,ge13_win_party,ge14_win_coallition,ge14_win_party,ge13_majority,ge13_majority_pct,ge14_majority,ge14_majority_pct,ge13_malay,ge14_malay,bn_ge13_vote,bn_rede_vote,bn_ge14_vote,bn_ge13_vote_pct,bn_rede_vote_pct,adjusted_rede_diff,bn_ge14_vote_pct,swing_vote,swing_pct,ge13_total_electorate,rede_total_electorate,ge14_total_electorate,ge13_tvv,rede_tvv,ge14_tvv,ge13_turnout,ge14_turnout
P053,Penang,Balik Pulau,Balik Pulau,BN,UMNO,PH,PKR,1539,3.52,6464,12.82,60,65,22318,22318,19007,52,51,-1,38,-3311,-17.42,49641,49641,59086,43097,43709,49776,88,85
P054,Perak,Gerik,Gerik,BN,UMNO,BN,UMNO,6216,22.93,5528,19.81,68,69,16415,16415,13243,62,62,0,48,-3172,-23.95,32725,32725,35903,26614,26614,27311,83,78
P055,Perak,Lenggong,Lenggong,BN,UMNO,BN,UMNO,3453,14.7,5773,24.45,82,83,13639,13639,12523,59,59,0,54,-1116,-8.91,27950,27950,29752,23117,23117,23205,84,79
P056,Perak,Larut,Larut,BN,UMNO,BN,UMNO,5296,13.26,4486,11.12,89,90,22184,22184,18184,56,56,0,46,-4000,-22,46577,46577,49453,39350,39350,39620,86,82
P057,Perak,Parit Buntar,Parit Buntar,PR,PAS,PH,AMANAH,8476,19.19,3098,7.16,68,69,17539,17539,13655,40,40,0,32,-3884,-28.44,51422,51422,51860,43554,43554,42720,86,83
P058,Perak,Bagan Serai,Bagan Serai,BN,UMNO,BN,UMNO,1140,2.46,172,0.36,76,78,23014,23014,17220,51,51,0,36,-5794,-33.65,54792,54792,59293,45217,45217,47255,85,81
P059,Perak,Bukit Gantang,Bukit Gantang,PR,PAS,BN,UMNO,986,1.62,4089,7.1,65,72,29577,27958,22450,49,50,1,39,-5508,-24.53,71257,65320,69873,60140,55381,56863,85,82
P060,Perak,Taiping,Taiping,PR,DAP,PH,DAP,11745,18.42,27384,38.66,37,39,25530,27149,15613,41,40,-1,22,-11536,-73.89,78148,84085,90729,62805,67564,69743,82,78
P061,Perak,Padang Rengas,Padang Rengas,BN,UMNO,BN,UMNO,2230,9.22,2548,9.95,76,78,13005,13005,10491,55,55,0,41,-2514,-23.96,28518,28518,30996,23780,23780,25281,85,83
P062,Perak,Sungai Siput,Sungai Siput,PR,PKR,PH,PKR,2793,6.72,5607,12.88,33,34,18800,18800,15210,46,46,0,36,-3590,-23.6,51596,51596,55002,40590,40590,42726,81,79
P063,Perak,Tambun,Tambun,BN,UMNO,PH,PPBM,9325,12.26,5320,6.05,64,66,42093,42449,33341,56,56,0,38,-9108,-27.32,89435,92616,107763,74861,75753,86950,85,82
P064,Perak,Ipoh Timor,Ipoh Timur,PR,DAP,PH,DAP,34000,52.3,42797,60.05,14,21,15086,19401,13722,24,27,3,20,-5679,-41.39,81818,90996,91486,64172,72419,70241,79,78
P065,Perak,Ipoh Barat,Ipoh Barat,PR,DAP,PH,DAP,29038,46.16,45724,68.88,23,12,16382,17088,9889,26,26,0,15,-7199,-72.8,77761,82036,84874,62037,66677,65502,81,78
P066,Perak,Batu Gajah,Batu Gajah,PR,DAP,PH,DAP,38596,55.06,43868,69.06,15,10,15360,13691,8982,22,22,0,14,-4709,-52.43,87587,80718,81399,69130,63551,62787,80,78
P067,Perak,Kuala Kangsar,Kuala Kangsar,BN,UMNO,BN,UMNO,1082,3.84,731,2.39,68,70,14218,14218,12102,51,51,0,40,-2116,-17.48,33540,33540,36954,27801,27801,30056,84,83
P068,Perak,Beruas,Beruas,PR,DAP,PH,DAP,5057,12.8,27954,45.62,33,26,16882,22623,13277,43,37,-6,22,-9346,-70.39,49205,77065,79794,38821,60667,60267,80,77
P069,Perak,Parit,Parit,BN,UMNO,BN,UMNO,4497,15.76,6320,21.49,92,93,16253,16253,14035,58,58,0,48,-2218,-15.8,33503,33503,35910,28009,28009,28990,85,82
P070,Perak,Kampar,Kampar,PR,DAP,PH,DAP,5400,10.99,11801,22.12,29,33,21463,23200,18415,44,46,2,35,-4785,-25.98,63619,66604,69436,48326,50719,52495,77,77
P071,Perak,Gopeng,Gopeng,PR,PKR,PH,PKR,15309,18.84,29778,37.18,43,42,32249,28541,19145,40,40,0,24,-9396,-49.08,97092,87327,99167,79807,71607,79233,84,81
P072,Perak,Tapah,Tapah,BN,MIC,BN,MIC,7927,21.51,614,1.66,46,46,20670,18933,16086,58,57,-1,44,-2847,-17.7,45485,42500,47128,35803,33410,36174,81,78
P073,Perak,Pasir Salak,Pasir Salak,BN,UMNO,BN,UMNO,7386,17.03,7712,17.39,79,81,24875,24875,20003,59,59,0,46,-4872,-24.36,51498,51498,54671,42364,42364,43445,84,81
P074,Perak,Lumut,Lumut,PR,PKR,PH,AMANAH,8168,11.1,400,0.73,51,72,32140,26399,21555,44,52,8,40,-4844,-22.47,88300,60440,67157,72448,50602,53645,83,81
P075,Perak,Bagan Datok,Bagan Datuk,BN,UMNO,BN,UMNO,2108,6.4,5073,13.48,55,59,17176,17176,18909,53,53,0,51,1733,9.16,39924,39924,47309,32244,32244,36806,83,80
P076,Perak,Telok Intan,Teluk Intan,PR,DAP,PH,DAP,7313,15.03,11179,20.55,38,41,20086,20086,17991,42,42,0,34,-2095,-11.64,60483,60483,66487,47764,47764,53655,80,82
P077,Perak,Tanjong Malim,Tanjung Malim,BN,MCA,PH,PKR,4328,8.13,5358,9.68,53,56,28225,28225,19314,54,54,0,36,-8911,-46.14,64499,64499,68468,52122,52122,54297,83,81
P078,Pahang,Cameron Highlands,Cameron Highlands,BN,MIC,BN,MIC,462,2.03,597,2.37,34,34,10506,10506,10307,48,48,0,42,10307,-1.93,27980,27980,32048,21871,21871,24365,81,78
P079,Pahang,Lipis,Lipis,BN,UMNO,BN,UMNO,3469,12.85,6569,23.01,76,78,14863,14863,13995,56,56,0,50,13995,-6.2,32324,32324,35294,26560,26560,28092,83,81
P080,Pahang,Raub,Raub,PR,DAP,PH,DAP,2814,6.26,3159,6.75,50,52,20601,20601,17500,47,47,0,38,17500,-17.72,54214,54214,57723,44016,44016,46025,83,81
P081,Pahang,Jerantut,Jerantut,BN,UMNO,BN,UMNO,4532,9.16,5908,11.54,81,82,26544,26544,22640,55,55,0,45,22640,-17.24,58364,58364,63609,48556,48556,50249,85,80
P082,Pahang,Indera Mahkota,Indera Mahkota,PR,PKR,PH,PKR,7523,13.8,10950,17.02,65,67,23061,23061,17628,43,43,0,28,17628,-30.82,64219,64219,77208,53838,53838,63721,85,83
P083,Pahang,Kuantan,Kuantan,PR,PKR,PH,PKR,4515,9.46,8111,15.61,63,66,21319,21319,13667,45,45,0,27,13667,-55.99,56280,56280,62696,47153,47153,51170,85,83
P084,Pahang,Paya Besar,Paya Besar,BN,UMNO,BN,UMNO,7715,18.96,5742,12.83,81,83,23747,23747,19033,59,59,0,43,19033,-24.77,48067,48067,55135,40051,40051,44100,85,81
P085,Pahang,Pekan,Pekan,BN,UMNO,BN,UMNO,35613,52.2,24859,34.52,89,88,51278,51278,43854,77,77,0,62,43854,-16.93,80260,80260,88899,66943,66943,70614,85,81
P086,Pahang,Maran,Maran,BN,UMNO,BN,UMNO,6475,19.87,3763,11.33,90,90,19249,19249,16064,60,60,0,49,16064,-19.83,38436,38436,41036,32023,32023,32725,85,81
P087,Pahang,Kuala Krau,Kuala Krau,BN,UMNO,BN,UMNO,6205,16.53,2876,7.39,90,90,21575,21575,18058,58,58,0,47,18058,-19.48,43003,43003,47264,36945,36945,38311,87,82
P088,Pahang,Temerloh,Temerloh,PR,PAS,PH,AMANAH,1070,1.9,1904,3.08,65,66,27197,27197,22094,49,49,0,36,22094,-23.1,66105,66105,75081,55464,55464,61050,85,82
P089,Pahang,Bentong,Bentong,BN,MCA,PH,DAP,379,0.72,2032,3.64,45,47,25947,25947,23684,50,50,0,43,23684,-9.55,62266,62266,67359,51515,51515,55106,84,83
P090,Pahang,Bera,Bera,BN,UMNO,BN,UMNO,2143,5,2311,4.81,60,62,21669,21669,20760,52,52,0,44,20760,-4.38,50997,50997,58711,41865,41865,47305,84,82
P091,Pahang,Rompin,Rompin,BN,UMNO,BN,UMNO,15114,32.96,11395,22.5,88,88,30040,30040,26628,67,67,0,54,26628,-12.81,53596,53596,61918,44966,44966,49737,86,82
P092,Selangor,Sabak Bernam,Sabak Bernam,BN,UMNO,BN,UMNO,1644,5.19,1674,4.94,82,83,16510,16510,12862,53,53,0,39,-3648,-28.36,37318,37318,40863,31130,31130,33350,85,83
P093,Selangor,Sungai Besar,Sungai Besar,BN,UMNO,PH,PKR,399,1.06,714,1.71,67,69,18695,18695,16636,51,51,0,40,-2059,-12.38,42837,42837,48739,36991,36991,41206,88,86
