State,KodPAR,const_name,coallition,candidate_name,party,winlose,won_party,won_coallition,majority,votes,voted_voters,votes_pct,total_voters,turnout_rate,malay,chinese,indian,others,muslim_bumi,nonmuslim_bumi,sabah_bumi,early,postal
Kelantan,29,Machang,PH,Sazmi Miah,PKR,lose,BN,BN,2824,5695,55023,10.35,68387,80.46,97,3,0,0,0,0,0,300,5
Kelantan,30,Jeli,BN,Mustapa Mohamed ,BN,win,BN,BN,6647,21665,38761,55.89,47470,81.65,98,0,0,1,0,0,0,2950,0
Kelantan,30,Jeli,GS,Mohamad Hamid,PAS,lose,BN,BN,6647,15018,38761,38.75,47470,81.65,98,0,0,1,0,0,0,2950,0
Kelantan,30,Jeli,PH,Azran Deraman,PKR,lose,BN,BN,6647,2078,38761,5.36,47470,81.65,98,0,0,1,0,0,0,2950,0
Kelantan,31,Kuala Krai,GS,Abdul Latiff Abdul Rahman,PAS,win,PAS,PAS,7992,28903,54987,52.56,70348,78.16,95,4,1,0,0,0,0,263,1
Kelantan,31,Kuala Krai,BN,Ramzi Ab Rahman,BN,lose,PAS,PAS,7992,20911,54987,38.03,70348,78.16,95,4,1,0,0,0,0,263,1
Kelantan,31,Kuala Krai,PH,Mohd Yazid Abdullah,PKR,lose,PAS,PAS,7992,5173,54987,9.41,70348,78.16,95,4,1,0,0,0,0,263,1
Kelantan,32,Gua Musang,BN,Tengku Razaleigh Mohd Hamzah,BN,win,BN,BN,3913,19426,39936,48.64,52524,76.03,83,6,1,11,0,0,0,243,4
Kelantan,32,Gua Musang,GS,Abdullah Hussein,PAS,lose,BN,BN,3913,15513,39936,38.84,52524,76.03,83,6,1,11,0,0,0,243,4
Kelantan,32,Gua Musang,PH,Mohd Nor Hussin,PKR,lose,BN,BN,3913,4997,39936,12.51,52524,76.03,83,6,1,11,0,0,0,243,4
Terengganu,33,Besut,BN,Idris Jusoh,BN,win,BN,BN,4599,34335,70935,48.4,86627,81.89,98,1,0,0,0,0,0,1753,9
Terengganu,33,Besut,GS,Riduan Mohamad Nor,PAS,lose,BN,BN,4599,29736,70935,41.92,86627,81.89,98,1,0,0,0,0,0,1753,9
