State,KodPAR,const_name,coallition,party,candidate_name,winlose,won_party,won_coallition,majority,votes,voted_voters,votes_pct,total_voters,turnout_rate,malay,chinese,indian,others,nonmuslim_bumi
Kedah,8,Pokok Sena,BN,UMNO,Shahlan Ismail,lose,PAS,PR,3935,32263,69309,46.55,80714,85.87,80,18,2,1,0
Kedah,9,Alor Setar,BN,MCA,Chor Chee Heung,lose,PKR,PR,1873,25491,57712,44.17,69009,83.63,61,34,5,1,0
Kedah,9,Alor Setar,PR,PKR,Gooi Hsiao - Leung,win,PKR,PR,1873,27364,57712,47.41,69009,83.63,61,34,5,1,0
Kedah,9,Alor Setar,Berjasa,Berjasa,Abdul Fisol Mohd Isa,lose,PKR,PR,1873,3530,57712,6.12,69009,83.63,61,34,5,1,0
Kedah,9,Alor Setar,BERSAMA,BERSAMA,Jawahar Raja Abdul Wahid,lose,PKR,PR,1873,257,57712,0.45,69009,83.63,61,34,5,1,0
Kedah,10,Kuala Kedah,PR,PKR,Azman Ismail,win,PKR,PR,4947,42870,82005,52.28,95328,86.02,77,21,1,0,0
Kedah,10,Kuala Kedah,BN,UMNO,Zaki Zamani Abd Rashid,lose,PKR,PR,4947,37923,82005,46.24,95328,86.02,77,21,1,0,0
Kedah,11,Pendang,BN,UMNO,Othman Abdul,win,UMNO,BN,2638,32165,62451,51.5,70135,89.04,88,6,1,6,0
Kedah,11,Pendang,PR,PAS,Mohamad Sabu,lose,UMNO,BN,2638,29527,62451,47.28,70135,89.04,88,6,1,6,0
Kedah,12,Jerai,BN,UMNO,Jamil Khir Baharom,win,UMNO,BN,1196,32429,64614,50.19,74410,86.84,79,15,6,0,0
Kedah,12,Jerai,PR,PAS,Mohd Firdaus Jaafar,lose,UMNO,BN,1196,31233,64614,48.34,74410,86.84,79,15,6,0,0
Kedah,13,Sik,BN,UMNO,Mansor Abd Rahman,win,UMNO,BN,2807,22084,41992,52.59,46786,89.75,93,2,0,5,0
Kedah,13,Sik,PR,PAS,Che Uda Che Nik,lose,UMNO,BN,2807,19277,41992,45.91,46786,89.75,93,2,0,5,0
Kedah,14,Merbok,BN,UMNO,Ismail Daut,win,UMNO,BN,4122,38538,74283,51.88,85908,86.47,65,17,17,1,0
Kedah,14,Merbok,PR,PKR,Nor Azrina Ti Surip,lose,UMNO,BN,4122,34416,74283,46.33,85908,86.47,65,17,17,1,0
Kedah,15,Sungai Petani,BN,UMNO,Syamsyul Anuar Che Mey @ Ismail,lose,PKR,PR,9548,34646,80771,42.89,93176,86.69,59,29,12,1,0
Kedah,15,Sungai Petani,IND,IND,Ong Wei Sin,lose,PKR,PR,9548,772,80771,0.96,93176,86.69,59,29,12,1,0
Kedah,15,Sungai Petani,KITA,KITA,Suhaimi Hashim,lose,PKR,PR,9548,200,80771,0.25,93176,86.69,59,29,12,1,0
Kedah,15,Sungai Petani,PR,PKR,Johari Abdul,win,PKR,PR,9548,44194,80771,54.72,93176,86.69,59,29,12,1,0
Kedah,16,Baling,PR,PAS,Najmi Hj Ahmad,lose,UMNO,BN,5185,38319,82904,46.22,93168,88.98,89,5,5,2,0
Kedah,16,Baling,BN,UMNO,Abdul Azeez Abdul Rahim,win,UMNO,BN,5185,43504,82904,52.48,93168,88.98,89,5,5,2,0
Kedah,17,Padang Serai,Berjasa,Berjasa,Hamidi Abu Hassan,lose,PKR,PR,8437,2630,64387,4.08,74095,86.9,56,21,23,0,0
Kedah,17,Padang Serai,IND,IND,Othman Wawi,lose,PKR,PR,8437,279,64387,0.43,74095,86.9,56,21,23,0,0
Kedah,17,Padang Serai,IND,IND,Gobalakrishnan A/L Nagapan,lose,PKR,PR,8437,390,64387,0.61,74095,86.9,56,21,23,0,0
Kedah,17,Padang Serai,PR,PKR,N Surendran A/L K Nagarajan,win,PKR,PR,8437,34151,64387,53.04,74095,86.9,56,21,23,0,0
Kedah,17,Padang Serai,BN,MCA,Heng Seai Kie,lose,PKR,PR,8437,25714,64387,39.94,74095,86.9,56,21,23,0,0
Kedah,18,Kulim Bandar Baharu,PR,PKR,Saifuddin Nasution Ismail,lose,UMNO,BN,1871,24911,52532,47.42,60910,86.25,68,19,13,0,0
Kedah,18,Kulim Bandar Baharu,BN,UMNO,Abd. Aziz Sheikh Fadzir,win,UMNO,BN,1871,26782,52532,50.98,60910,86.25,68,19,13,0,0
