KodPAR,state,const_name,total_voters,voted_voters,turnout_rate,majority,party_1,candidate_1,vote_1,percent_1,party_2,candidate_2,vote_2,percent_2,party_3,candidate_3,vote_3,percent_3,party_4,candidate_4,vote_4,percent_4,party_5,candidate_5,vote_5,percent_5,party_6,candidate_6,vote_6,percent_6
71,Perak,Gopeng,"99,167","79,233",79.90%,"29,778",BN,Heng Seai Kie,,,PH,Lee Boon Chye,,,PAS,Ismail Ariffin,,,,,,,,,,,,,,
72,Perak,Tapah,"47,128","36,174",76.76%,614,BN,Saravanan Murugan,,,PH,Mohamed Azni Mohamed Ali,,,PAS,Norazli Musa,,,,,,,,,,,,,,
73,Perak,Pasir Salak,"54,671","43,445",79.47%,"7,712",BN,Tajuddin Abdul Rahman,,,PH,Salihuddin Radin Sumadi,,,PAS,Zafarulazhan Zan,,,,,,,,,,,,,,
74,Perak,Lumut,"67,157","53,645",79.88%,400,BN,Zambry Abd Kadir,,,PH,Mohd Hatta Md Ramli,,,PAS,Mohammed Zamri Ibrahim,,,,,,,,,,,,,,
75,Perak,Bagan Datuk,"47,309","36,806",77.80%,"5,073",BN,Ahmad Zahid Hamidi,,,PH,Pakhrurrazi Arshad,,,PAS,Ata Abdul Muneim Hasan Adli,,,,,,,,,,,,,,
76,Perak,Telok Intan,"66,487","53,655",80.70%,"11,179",BN,Mah Siew Keong,,,PH,Nga Kor Ming,,,PAS,Ahmad Ramadzhan Ahmad Daud,,,,,,,,,,,,,,
77,Perak,Tanjong Malim,"68,468","54,297",79.30%,"5,358",BN,Mah Hang Soon,,,PH,Chang Lih Kang,,,PAS,Mohd Tarmizi Ab Rahman,,,,,,,,,,,,,,
78,Pahang,Cameron Highlands,"32,048","24,365",76.03%,597,BN,Sivaraj Chandran,,,PH,Manogaran Marimuthu,,,PAS,Wan Mahadir Wan Mahmud,,,PSM,Suresh Kumar Balasubramaniam,,,Berjasa,Mohd Tahir Kassim,,,,,,
79,Pahang,Lipis,"35,294","28,092",79.59%,"6,569",BN,Abdul Rahman Mohamad,,,PH,Badarudin Rahaman,,,PAS,Sobirin Duli,,,,,,,,,,,,,,
80,Pahang,Raub,"57,723","46,025",79.73%,"3,159",BN,Chew Mei Fun,,,PH,Tengku Zulpuri Shah Raja Puji,,,PAS,Mohamed Nilam Abdul Manap,,,,,,,,,,,,,,
81,Pahang,Jerantut,"63,609","50,249",79.00%,"5,908",BN,Ahmad Nazlan Idris,,,PH,Wan Mohd Shaharir Wan Abd Jalil,,,PAS,Yohanis Ahmad,,,,,,,,,,,,,,
82,Pahang,Indera Mahkota,"77,208","63,721",82.53%,"10,950",BN,Johan Mat Sah,,,PH,Saifuddin Abdullah,,,PAS,Nasrudin Hassan,,,,,,,,,,,,,,
83,Pahang,Kuantan,"62,696","51,170",81.62%,"8,111",BN,Wong Kean Hwee,,,PH,Fuziah Salleh,,,PAS,Sulaiman Md Derus,,,,,,,,,,,,,,
84,Pahang,Paya Besar,"55,135","44,100",79.99%,"5,742",BN,Mohd Shahar Abdullah,,,PH,Mohd Ashraf Mustaqim Badrul Munir,,,PAS,Mohamad Azhar Mohd Noor,,,Independent,Abd Kadir Sainudin,,,,,,,,,,
85,Pahang,Pekan,"88,899","70,614",79.43%,"24,859",BN,Mohd Najib Abd Razak,,,PH,Muhammad Zahid Md Arip,,,PAS,Ahiatudin Daud,,,,,,,,,,,,,,
86,Pahang,Maran,"41,036","32,725",79.75%,"3,763",BN,Ismail Abd Muttalib,,,PH,Ahmad Farid Ahmad Nordin,,,PAS,Hasenan Haron,,,,,,,,,,,,,,
87,Pahang,Kuala Krau,"47,264","38,311",81.06%,"2,876",BN,Ismail Mohamed Said,,,PH,Mohamad Rafidee Hassim,,,PAS,Kamal Ashaari,,,,,,,,,,,,,,
88,Pahang,Temerloh,"75,081","61,050",81.31%,"1,904",BN,Mohd Sharkar Shamsudin,,,PH,Mohd Anuar Mohd Tahir,,,PAS,Md Jusoh Darus,,,Independent,Mohd Khaidir Ahmad,,,Independent,Muhamad Fakhrudin Abu Hanipah,,,,,,
89,Pahang,Bentong,"67,359","55,106",81.81%,"2,032",BN,Liow Tiong Lai,,,PH,Wong Tack,,,PAS,Balasubramaniam Nachiappan,,,,,,,,,,,,,,
90,Pahang,Bera,"58,711","47,305",80.57%,"2,311",BN,Ismail Sabri Yaakob,,,PH,Zakaria Abdul Hamid,,,PAS,Musaniff Ab Rahman,,,,,,,,,,,,,,
91,Pahang,Rompin,"61,918","49,737",80.33%,"11,395",BN,Hasan Arifin,,,PH,Sitarunisah Ab Kadir,,,PAS,M Shahrul Nizam Abdul Haliff,,,,,,,,,,,,,,
92,Selangor,Sabak Bernam,"40,863","33,350",81.61%,"1,674",BN,Mohd Fasiah Mohd Fakeh,,,PH,Warno Dogol,,,PAS,Muhammad Labib Abd Jalil,,,,,,,,,,,,,,
93,Selangor,Sungai Besar,"48,739","41,206",84.54%,714,BN,Budiman Mohd Zohdi,,,PH,Muslimin Yahaya,,,PAS,Mohamed Salled M Husin,,,,,,,,,,,,,,
94,Selangor,Hulu Selangor,"100,990","85,221",84.39%,"13,391",BN,P. Kamalanathan P. Panchanathan,,,PH,Leow Hsiad Hui,,,PAS,Wan Mat Sulaiman,,,Independent,Kumar S. Paramasivam,,,,,,,,,,
95,Selangor,Tanjung Karang,"47,198","40,498",85.80%,"1,970",BN,Noh Omar,,,PH,Zulkafperi Hanapi,,,PAS,Nor Az Azlan Ahmad,,,,,,,,,,,,,,
96,Selangor,Kuala Selangor,"69,397","59,721",86.06%,"8,498",BN,Irmohizam Ibrahim,,,PH,Dzulkefly Ahmad,,,PAS,Mohd Fakaruddin Ismail,,,,,,,,,,,,,,
97,Selangor,Selayang,"116,176","98,002",84.36%,"40,657",BN,Kang Meng Fuat,,,PH,William Leong Jee Keen,,,PAS,Hashim Abdul Karim,,,,,,,,,,,,,,
98,Selangor,Gombak,"141,112","119,042",84.36%,"48,721",BN,Abdul Rahim Pandak Kamarudin,,,PH,Mohamed Azmin Ali,,,PAS,Khairil Nizam Khirudin,,,,,,,,,,,,,,
99,Selangor,Ampang,"91,737","76,550",83.45%,"41,956",BN,Leong Kim Soon,,,PH,Zuraida Kamaruddin,,,PAS,Nurul Islam Mohamed Yusoff,,,PRM,Tan Hua Meng,,,,,,,,,,
100,Selangor,Pandan,"101,319","85,774",84.66%,"52,543",BN,Leong Kok Wee,,,PH,Wan Azizah Wan Ismail,,,PAS,Mohamed Sukri Omar,,,PRM,Lee Ying Ha,,,Independent,Mohd Khairul Azam Abdul Aziz,,,,,,
101,Selangor,Hulu Langat,"102,363","88,247",86.21%,"25,424",BN,Azman Ahmad,,,PH,Hasanuddin Mohd Yunus,,,PAS,Che Rosli Che Mat,,,,,,,,,,,,,,
102,Selangor,Bangi,"178,790","156,327",87.44%,"68,768",BN,Liew Yuen Keong,,,PH,Ong Kian Ming,,,PAS,Mohd Shafie Ngah,,,PRM,Wan Jinn Woei,,,,,,,,,,
103,Selangor,Puchong,"96,437","83,478",86.56%,"47,635",BN,Ang Chin Tat,,,PH,Gobind Singh Deo,,,PAS,Mohamad Rosharizan Mohd Rozlan,,,,,,,,,,,,,,
104,Selangor,Subang,"146,422","125,705",85.85%,"92,353",BN,Tan Seong Lim,,,PH,Wong Chen,,,PAS,Mohd Shahrir Mohd Adnan,,,Independent,Toh Sin Wah,,,,,,,,,,
105,Selangor,Petaling Jaya,"140,920","115,279",81.80%,"57,137",BN,Chew Hian Tat,,,PH,Maria Chin Abdullah,,,PAS,Noraini Hussin,,,,,,,,,,,,,,
106,Selangor,Damansara,"164,322","136,280",82.93%,"106,903",BN,Ho Kwonk Xheng,,,PH,Pua Kiam Wee,,,PRM,Wong Mun Kheong,,,,,,,,,,,,,,
107,Selangor,Sungai Buloh,"90,707","77,951",85.94%,"26,634",BN,Pakas Rao Applanaidoo,,,PH,Sivarasa K. Rasiah,,,PAS,Nuridah Mohd Salleh,,,PSM,Zainurizzaman Mohram,,,,,,,,,,
108,Selangor,Shah Alam,"107,316","93,243",86.89%,"33,849",BN,Azhari Shaari,,,PH,Khalid Abd Samad,,,PAS,Mohd Zuhdi Marsuki,,,,,,,,,,,,,,
109,Selangor,Kapar,"124,983","106,093",84.89%,"16,306",BN,Mohana Muniandy Raman,,,PH,Abdullah Sani Abdul Hamid,,,PAS,Abd Rani Osman,,,PRM,Manikavasagam Sundaram,,,,,,,,,,
110,Selangor,Klang,"149,348","127,074",85.09%,"78,773",BN,Ching Eu Boon,,,PH,Charles Anthony R. Santiago,,,PAS,Khairul Shah Abdullah,,,Independent,Puvanenderan Ganasamoorthy,,,,,,,,,,
111,Selangor,Kota Raja,"149,021","128,126",85.98%,"71,142",BN,V Gunalan Velu,,,PH,Mohamad Sabu,,,PAS,Mohamed Diah Baharun,,,,,,,,,,,,,,
112,Selangor,Kuala Langat,"102,406","88,097",86.03%,"17,112",BN,Shahril Sufian Hamdan,,,PH,Xavier Jayakumar Arulanandam,,,PAS,Yahya Baba,,,,,,,,,,,,,,
113,Selangor,Sepang,"104,508","90,657",86.75%,"18,705",BN,Marsum Paing,,,PH,Mohamed Hanipa Maidin,,,PAS,Sabirin Marsono,,,,,,,,,,,,,,
114,Federal Territory,Kepong,"72,696","61,404",84.47%,"51,628",BN,Ong Siang Liang,,,PH,Lim Lip Eng,,,,,,,,,,,,,,,,,,
115,Federal Territory,Batu,"76,328","62,805",82.28%,"24,438",BN,Dominic Lau Hoe Chai,,,PAS,Azhar Yahya,,,Independent,Prabakaran Parameswaran,,,Independent,VM Panjamothy Muthusamy,,,,,,,,,,
116,Federal Territory,Wangsa Maju,"88,482","73,608",83.19%,"24,238",BN,Yeow Teong Look,,,PH,Tan Yee Kew,,,PAS,Razali Tumrin,,,,,,,,,,,,,,
117,Federal Territory,Segambut,"77,956","64,727",83.03%,"45,702",BN,Loga Bala Mohan Jaganathan,,,PH,Yeoh Tseow Suan,,,PAS,Mohd Solleh Ab Razak,,,,,,,,,,,,,,
118,Federal Territory,Setiawangsa,"72,136","60,852",84.36%,"14,372",BN,Zulhasnan Rafique,,,PH,Nik Nazmi NIk Ahmad,,,PAS,Ubaid Abd Akla,,,,,,,,,,,,,,
119,Federal Territory,Titiwangsa,"61,598","50,386",81.80%,"4,139",BN,Johari Abdul Ghani,,,PH,Rina Mohd Harun,,,PAS,Mohamad Noor Mohamad,,,,,,,,,,,,,,
120,Federal Territory,Bukit Bintang,"69,526","52,408",75.38%,"37,260",BN,Tan Ean Ean,,,PH,Fong Kui Lun,,,PFP,Khairul Husni Othman,,,,,,,,,,,,,,
121,Federal Territory,Lembah Pantai,"80,346","66,305",82.52%,"5,598",BN,Raja Nong Chik Raja Zainal Abidin,,,PH,Ahmad Fahmi Mohamed Fadzil,,,PAS,Fauzi Abu Bakar,,,,,,,,,,,,,,
122,Federal Territory,Seputeh,"86,256","70,129",81.30%,"56,059",BN,Chan Quin Er,,,PH,Teresa Kok Suh Sim,,,,,,,,,,,,,,,,,,
123,Federal Territory,Cheras,"78,819","63,677",80.79%,"49,665",BN,Heng Sinn Yee,,,PH,Tan Kok Wai,,,,,,,,,,,,,,,,,,
124,Federal Territory,Bandar Tun Razak,"83,650","70,206",83.93%,"19,930",BN,Adnan Seman @ Abdullah,,,PH,Kamarudin Jaafar,,,PAS,Rosni Adam,,,,,,,,,,,,,,
125,Federal Territory,Putrajaya,"27,306","24,558",89.94%,"3,372",BN,Tengku Adnan Tengku Mansor,,,PH,Samsu Adabi Mamat,,,PAS,Zainal Abidin Kidam,,,,,,,,,,,,,,
126,Negri Sembilan,Jelebu,"48,522","38,957",80.29%,"2,045",BN,Jalaluddin Alias,,,PH,Mustafar Ab Kadir,,,PAS,Norman Ipin,,,,,,,,,,,,,,
127,Negri Sembilan,Jempol,"72,122","57,274",79.41%,"1,631",BN,Mohd Salim Sharif @ Mohd Sharif,,,PH,Kamarulzaman Kamdias,,,PAS,Mustaffa Daharun,,,,,,,,,,,,,,
128,Negri Sembilan,Seremban,"110,168","91,818",83.34%,"30,694",BN,Chong Sin Woon,,,PH,Loke Siew Fook,,,PAS,Sharifuddin Ahmad,,,,,,,,,,,,,,
129,Negri Sembilan,Kuala Pilah,"49,801","40,237",80.80%,200,BN,Hasan Malek,,,PH,Eddin Syazlee Shith,,,PAS,Rafiei Mustapha,,,,,,,,,,,,,,
130,Negri Sembilan,Rasah,"102,838","85,307",82.95%,"46,867",BN,Ng Kian Nam ,,,PH,Cha Kee Chin ,,,PAS,Mohd Khairil Anuar Mohd Wafa,,,PAP,David Dass Aseerpatham,,,,,,,,,,
